Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Lubomir Seman,£150K  £450K,1.69,5.84,2.46,0,33%,0.8,0.27,33%,8,13.0km,1.49,31.53,26.78,11.85,19.18,1.66,0.4,2.09,1.06,0.33,0.56,1.86,11.45,0.7,2.42,0,42%,1.49,88%,85%,10.88,0,0.5,0.7,0.17
Inj,  ,Sven Groznica,£150K  £425K,1.29,3.6,1.35,0.09,10%,2.97,0.18,6%,1,12.2km,0.81,46.49,41.26,9.55,15.86,3.87,0.63,1.44,0.27,0.36,0.81,1.44,13.6,1.26,3.06,0,38%,2.16,77%,89%,10.63,0,0.99,1.71,0.18
Inj,  ,Raif Karaçam,£150K  £425K,0.97,3.32,0.93,0.08,16%,0.73,0.12,17%,3,12.4km,0.4,46.37,40.03,9.46,9.66,4.57,0.04,0.28,0.04,0.57,1.01,1.33,12.25,1.29,2.71,0.08,28%,1.86,78%,86%,9.91,0.04,0.53,1.29,0.08
,  ,Fatih Gözübüyük,£140K  £425K,0.93,4.12,2.21,0.23,13%,1.15,0.15,13%,2,11.8km,1.15,46.41,39.85,9.01,14.66,3.51,0.08,0.99,0.76,0.38,0.84,1.15,13.21,1.83,3.44,0,54%,2.52,89%,86%,10.76,0,0.31,1.83,0.15
,  ,Or Stein,£140K  £425K,0.79,3.46,0.73,0.16,,0.49,0,0%,0,12.0km,0.2,51.47,44.92,8.91,8.34,3.95,0.12,0.24,0.08,0.45,1.51,1.34,16.32,1.06,2.81,0.49,21%,2.36,83%,87%,10.05,0.12,0.33,1.06,0.04
,  ,David Resler,£140K  £425K,1,4.14,0.79,0.04,9%,0.92,0.09,10%,2,12.0km,0.96,38,33.07,9.86,17.32,3.14,0,0.48,0.17,0.22,1.31,1.22,10.78,1.61,2.49,0,19%,1.66,88%,87%,10.69,0.04,0.31,1.61,0.13
,  ,Tobias Hultman,£140K  £425K,1.46,3.69,1.17,0.1,54%,1.07,0.58,55%,6,11.6km,0.97,41.99,36.35,7.39,13.12,2.92,0.68,1.26,0.39,0.39,1.46,1.36,15.06,1.17,3.3,0,32%,1.75,78%,87%,9.82,0,0.39,1.75,0.1
,  ,Patrik Sági,£140K  £425K,0.75,3.27,1.3,0,18%,1.23,0.22,18%,6,11.9km,0.89,44.8,38.56,8.77,13.97,3.86,0.3,1.26,0.41,0.19,1.19,1.11,11.37,1.63,3.34,0,40%,1.71,75%,86%,10.92,0.04,0.41,1.63,0.15
,  ,Eduardo,£140K  £425K,1.19,3.63,1.08,0.07,12%,7.7,1.01,13%,3,12.0km,0.9,42.61,37.41,10.76,12.75,3.85,0.11,0.37,0.19,0.22,0.52,1.57,13.27,1.76,3.36,0,30%,2.24,79%,88%,11.36,0.11,0.19,2.24,0.11
,  ,Nontas Michailidis,£140K  £425K,0.86,3.35,1.13,0.08,15%,0.52,0.08,15%,2,12.9km,0.81,49.62,45.02,11.21,8.83,5,0.16,0.4,0,0.36,1.13,1.49,13.8,1.45,2.74,0.12,34%,2.06,76%,91%,10.45,0.12,0.28,1.65,0.24
,  ,Erhan Özen,£140K  £400K,0.89,4.99,2.06,0.34,30%,0.45,0.14,31%,4,12.3km,0.45,49.9,45.15,9.39,8.15,3.85,0.1,0.24,0,0.41,1.27,1.31,12.07,1.27,2.96,0.17,41%,2.13,70%,90%,9.22,0.03,0.14,1.34,0.03
Wnt,  ,François Hauser,£140K  £400K,0.81,3.34,1.37,0.07,66%,2.45,0.52,21%,8,13.2km,0.44,48.88,43.72,11.2,7.94,4.56,0,0.19,0.04,0.33,0.89,1.45,13.24,1.19,2.93,0.52,41%,1.93,65%,89%,9.49,0.15,0.11,1.45,0.15
,  ,Serdal Vural,£130K  £400K,0.86,3.96,1.42,0.03,34%,0.86,0.3,35%,9,12.3km,1.22,44.34,38.62,9.88,12.72,3.04,0.13,0.69,0.2,0.33,0.36,1.88,14.74,1.09,2.78,0,36%,1.72,74%,87%,11.07,0.03,0.23,1.09,0.13
,  ,Mato Radošević,£130K  £375K,1.22,2.88,0.79,0,5%,1.02,0.05,5%,1,12.1km,0.79,45.09,39.76,9,15.59,3.02,0.14,0.84,0.32,0.46,0.7,1.44,8.86,1.02,3.2,0,27%,1.67,67%,88%,10.53,0,0.7,1.02,0.23
,  ,Mark McKinney,£120K  £375K,1.59,5.49,2.84,0.25,13%,0.72,0.09,13%,3,11.9km,1.03,48.32,40.99,8.49,10.89,3.46,0.47,1.47,0.44,0.47,1,1.68,13.41,1.44,2.81,0,52%,1.53,80%,85%,10.73,0.03,0.28,1.44,0.16
,  ,Patrik Petrik,£120K  £375K,1.23,3.62,1.59,0.4,28%,0.4,0.11,29%,2,12.9km,0.45,49.22,44.01,10.65,7.25,3.79,0.06,0.17,0,0.28,0.74,1.76,16.09,1.02,2.78,0.28,44%,1.98,69%,89%,9.18,0.11,0.23,1.02,
,  ,Klemen Antolič,£120K  £375K,1.53,4.69,2.47,0.41,,0.31,0,0%,0,12.4km,0.75,51.76,46.06,10.64,6.2,4.98,0,0.19,0.09,0.41,0.88,1.28,14.46,1.38,2.75,0.09,53%,1.85,76%,89%,9.45,0.09,0.41,1.38,0.13
,  ,Jóhann Steinarsson,£120K  £375K,1.59,2.84,0.98,0.04,37%,0.36,0.13,38%,3,12.7km,0.49,49.75,43.67,10.25,7.5,5.15,0,0.27,0.04,0.49,1.2,1.69,13,1.38,2.8,0,34%,2,80%,88%,9.32,0.09,0.4,1.38,0.31
,  ,Joel McGregor,£120K  £350K,1.57,2.82,0.6,0.17,,0.26,0,0%,0,12.4km,0.68,48.24,42.1,10.59,6.83,3.84,0,0.26,0,0.43,0.51,2.31,12.89,0.85,2.65,0,21%,2.05,80%,87%,9.48,0,0.43,0.85,0.26
,  ,Jaime Iribarren,£120K  £350K,0.73,4.17,1.28,0.04,19%,1.11,0.21,19%,5,13.1km,1.23,35.33,30.01,13.6,17.09,2,0.64,1.87,0.72,0.21,0.55,1.02,11.14,1.28,2.64,0,31%,1.28,68%,85%,10.76,0,0.21,2.21,0.13
Wnt,  ,Daniel Alon,£120K  £350K,0.9,3.57,1.32,0.22,16%,1.15,0.19,17%,7,12.3km,0.69,44.52,39.33,9.85,12.98,3.9,0.38,1.15,0.44,0.49,1.26,1.67,10.76,1.43,2.53,0.08,37%,1.67,86%,88%,10.48,0.14,0.25,1.43,0.16
,  ,Rouven Scholl,£110K  £350K,1.31,3.48,1.48,0.09,33%,0.78,0.26,33%,3,12.3km,0.7,46.87,40.51,9.24,11.24,4.18,0.17,1.05,0.17,0.17,0.7,1.57,10.89,1.74,2.79,0,43%,2.09,83%,86%,10.63,0.09,0.52,1.74,0.17
,  ,Arttu Ketola,£110K  £350K,1.18,4.3,0.93,0.12,37%,0.93,0.35,38%,3,11.7km,1.16,44.19,39.42,6.63,20.12,4.07,0.7,1.63,0.81,0.58,0.81,1.4,11.16,1.51,1.63,0,22%,0.81,64%,89%,10.47,0,0.35,1.51,0.12
,  ,Benjamim Fonseca,£110K  £325K,0.83,2.98,0.87,0,33%,0.5,0.17,33%,4,12.3km,1.2,44.73,40.14,9.89,13.9,3.52,0.41,1.12,0.33,0.41,0.99,1.78,11.54,1.12,2.86,0,29%,1.37,62%,90%,10.72,0.12,0.25,1.12,0.33
,  ,Paul Edgar,£110K  £325K,1.81,3.6,1.42,0.05,42%,0.38,0.16,43%,6,12.4km,0.63,51.03,44.97,9.22,6.57,4.23,0.35,0.82,0.14,0.57,1.39,1.45,10.61,0.85,2.86,0.03,39%,1.77,77%,88%,8.92,0.03,0.3,0.85,0.16
Inj,  ,Sargon Bärkroth,£110K  £325K,1,3.73,1.28,0,22%,0.96,0.21,22%,2,11.6km,0.75,44.25,38.07,8.74,13.33,3.52,0,0.32,0,0.32,0.75,1.81,15.78,1.49,3.31,0,34%,2.24,78%,86%,12.05,0.21,0.21,1.49,0.32
,  ,Ali Kemal Uysal,£100K  £300K,1.3,3.22,1.04,0.03,25%,0.42,0.1,25%,3,12.3km,0.87,44.81,39.55,10.03,9.76,3.08,0.17,0.76,0.1,0.66,1.11,2.35,14.91,1.11,1.9,0,32%,1.42,80%,88%,11.14,0.03,0.59,1.11,0.14
Wnt,  ,Miloš Karaičić,£100K  £300K,0.77,3.92,1.68,0.07,11%,0.66,0.07,11%,2,12.7km,1.1,48.31,42.27,9.48,15.23,3.99,0.51,1.13,0.26,0.48,1.46,1.46,10.72,1.72,2.56,0,43%,1.57,90%,88%,10.61,0,0.33,1.72,0.22
Wnt,  ,Damian Pęcak,£100K  £300K,1.23,3.61,0.9,0.05,,0.86,0,0%,0,12.1km,1.19,44.6,38.7,9.46,14.69,3.71,0.05,0.33,0.14,0.43,0.67,1.43,10.94,1.47,2.71,0,25%,1.52,76%,87%,11.08,0.05,0.33,1.47,0.1
,  ,Ivan Havelka,£95K  £300K,1,2.84,0.65,0,14%,1.04,0.15,15%,4,11.8km,0.81,44.04,38.01,9.48,14.59,3.57,0.38,0.77,0.19,0.23,0.73,2.07,8.56,1.23,3.15,0,23%,2.15,81%,86%,10.52,0.08,0.19,1.23,0.12
Int,  ,Manuel Rodrigues,£95K  £275K,1.1,3.49,1.2,0.1,,0.62,0,0%,0,12.5km,0.48,47.49,41.94,10.2,8.9,4.88,0.19,0.43,0.1,0.38,0.86,1.39,12.59,1.44,2.82,0.19,34%,2.3,83%,88%,10.05,0.1,0.48,1.44,0.1
,  ,Ryan McArdle,£95K  £275K,1.47,5.15,1.92,0.6,25%,0.89,0.23,26%,8,12.1km,0.86,45.91,39.57,9.32,13.01,3.2,0.43,1.17,0.43,0.37,1.11,1.32,14.81,0.97,2.52,0.03,37%,1.92,79%,86%,11.12,0,0.11,0.97,0.09
,  ,Mikel Del Río,£90K  £275K,1.09,3.56,1,0.08,16%,0.72,0.12,17%,3,12.4km,0.64,46.5,41.62,9.6,12.29,3.76,0.28,0.64,0.24,0.44,1.04,1.68,12.81,1.24,2.8,0.16,28%,1.76,71%,90%,10.68,0,0.44,1.24,0.12
,  ,Noah Sellier,£90K  £275K,1.06,5.38,2.77,0.37,,0.33,0,0%,0,12.2km,0.87,51.12,44.77,9.8,8.63,3.41,0.2,0.47,0.1,0.4,0.8,1.54,11.13,0.64,2.31,0.07,52%,1.84,79%,88%,9.73,0,0.23,0.67,0.03
,  ,Ben Wilson,£90K  £275K,1.29,3.61,0.96,0.06,,0.72,0,0%,0,12.0km,1.02,46.32,40.01,9.2,13.18,3.13,0.06,0.54,0.24,0.3,0.84,2.05,11.97,1.2,2.35,0,27%,1.38,62%,86%,10.53,0.18,0.48,1.2,0.18
Wnt,  ,Hakan Karadağ,£85K  £250K,0.38,4.41,1.57,0.08,14%,8.27,1.1,13%,2,12.1km,1.5,46.46,39.69,7.56,15.91,3.94,0.24,0.94,0.39,0.16,1.26,1.02,8.35,2.05,3.31,0,36%,1.65,70%,85%,8.43,0,0.39,2.05,0.08
,  ,Andrew Ennis,£85K  £250K,2.2,3.43,0.66,0.06,21%,0.84,0.18,21%,3,12.1km,1.02,44.7,39.82,10.54,12.89,3.49,0.12,0.48,0.06,0.54,1.14,1.87,13.92,1.02,2.17,0,19%,1.51,86%,89%,11.33,0,0.6,1.02,0.3
,  ,Marko Todorović,£80K  £240K,1.37,5.15,2.74,0.42,41%,0.79,0.32,41%,7,12.5km,0.32,50.83,43.96,10.03,4.92,5.06,0.14,0.23,0.09,0.32,1.3,1.35,16.01,1.49,2.41,0.05,53%,2.04,86%,86%,9.38,0,0.23,1.49,0.14
,  ,Roland Novotny,£80K  £230K,1.41,3.68,1.25,0.07,30%,0.68,0.2,30%,6,12.5km,0.64,50.51,43.55,9.93,6.35,4.59,0.1,0.37,0.07,0.27,1.62,1.08,10.68,1.42,2.74,0.03,34%,1.66,64%,86%,9.09,0.07,0.34,1.42,0.1
,  ,Henry Nduka,£75K  £230K,1.32,4.31,2.36,0.38,30%,0.5,0.15,31%,4,12.9km,0.65,46.7,41.13,12.01,11.59,4.42,0.5,1.22,0.19,0.34,0.76,1.3,13.23,1.14,3.28,0,55%,2.71,83%,88%,10.25,0.15,0.53,1.22,0.3
,  ,Paul Smyth,£75K  £230K,1.65,3.64,1.36,0.04,10%,1.46,0.11,7%,3,11.9km,0.89,42.37,37.34,6.82,11.61,3.97,0.18,0.54,0.21,0.36,1.07,1.57,17.08,1.61,2.61,0,37%,1.61,80%,88%,10.61,0,0.54,1.61,0.39
Wnt,  ,Lan Bračko,£75K  £230K,1.18,3.65,1.68,0.06,35%,1.2,0.42,35%,13,12.4km,0.9,44.05,39.85,11.96,14.7,3.52,0.19,0.61,0.26,0.39,0.45,1.45,11.92,1.07,2.65,0,46%,1.87,83%,90%,11.31,0,0.16,1.07,0.16
,  ,Thomas Schou,£75K  £230K,0.88,4.94,2.43,0.37,14%,0.86,0.12,14%,3,11.9km,1.11,45.78,39.77,8.73,15.4,3.75,0.08,0.29,0.08,0.49,0.66,1.85,8.65,1.36,3.05,0,49%,2.1,89%,87%,10.87,0.08,0.12,1.36,0.08
,  ,Egor Boltrushevich,£75K  £220K,0.55,3.54,1.72,0.1,14%,2.02,0.2,10%,1,12.0km,1.52,44.65,38.77,10.93,13.06,3.75,0.2,1.01,0.3,0.4,0.4,2.13,12.86,0.71,2.94,0,49%,1.82,75%,87%,11.14,0.1,0.4,0.71,0.1
,  ,Lee Rogers,£70K  £210K,1.43,4.53,2.23,0.07,,4.67,0.63,13%,0,12.1km,1.25,43.99,38.97,8.92,11.92,3.35,0.21,0.49,0.21,0.49,0.91,1.6,11.22,1.32,2.44,0,49%,0.91,59%,89%,12.06,0,0.07,1.32,0.14
,  ,Ondrej Nemcek,£70K  £210K,1.38,3.6,0.94,0.12,15%,0.82,0.16,20%,2,12.5km,1.02,49.84,44.65,9.56,12.5,3.84,0.25,0.61,0.08,0.61,1.47,1.55,9.56,1.47,2.45,0,26%,1.55,79%,90%,10.13,0.12,0.16,1.47,0.08
Inj,  ,Nicolas Sablet,£70K  £200K,1.46,5.47,2.97,0.56,12%,1.38,0.17,13%,4,12.2km,0.69,47.97,42.16,12.07,12.93,5,0.09,0.34,0.04,0.52,1.12,1.94,12.93,1.03,1.85,0.6,54%,1.25,60%,88%,8.97,0.13,0.39,1.03,0.13
Loa,  ,Mateo Asllani,£65K  £200K,1.53,5.44,2.05,0.13,14%,0.45,0.06,14%,1,12.5km,1.15,45.13,38.53,9.09,12.93,2.88,0,0.13,0,0.96,0.38,2.37,10.82,0.9,2.24,0,38%,1.41,63%,85%,10.82,0,,0.9,0.13
,  ,Andri Þór Eiðsson,£65K  £200K,1.6,6.06,3.93,0.45,9%,1.23,0.11,9%,1,12.8km,0.45,44.33,38.6,9.76,13.13,3.14,0.22,1.46,0.45,0.22,0.79,1.68,14.48,1.35,2.24,0,65%,1.57,78%,87%,10.77,0,0.45,1.35,0.34
,  ,Randolf Røyneland,£65K  £190K,1.07,4.93,2.59,0.24,21%,0.98,0.21,21%,6,11.9km,0.84,49.34,43.39,8.64,12.83,3.78,0.28,0.73,0.21,0.42,1.19,1.43,10.42,1.68,3.01,0,52%,2.17,84%,88%,10.66,0.03,0.42,1.68,0.14
,  ,Anton Makhmutov,£65K  £190K,1.73,4.09,0.91,0.09,,0.36,0,0%,0,11.9km,1.45,49.45,42.55,9.55,10.09,3.73,0.45,1.18,0.45,0.45,1.45,2.09,14.64,1.73,2,0,22%,0.82,50%,86%,10.36,0,0.45,1.73,0.36
,  ,Johan Johansson,£60K  £180K,1.08,3.89,1.79,0.3,28%,0.35,0.1,29%,2,12.8km,0.6,50.58,45.4,10.56,6.33,4.88,0.05,0.6,0,0.55,0.7,1.45,13.95,1.1,2.44,0,46%,1.94,80%,90%,9.17,0,0.4,1.1,0.3
,  ,Austin Flynn,£60K  £180K,0.8,2.81,0.43,0.05,7%,0.76,0.05,7%,1,12.7km,0.76,45.89,39.46,10.49,15.3,2.76,0.32,0.86,0.38,0.43,0.86,1.73,13.41,0.76,3.24,0,15%,2.65,80%,86%,10.97,0.05,0.27,0.76,0.16
Wnt,  ,Andreas HerediaRanden,£60K  £170K,0.91,3.46,1.35,0.08,16%,7.26,0.82,11%,4,12.9km,1.02,44.39,38.72,10.39,13.08,3.79,0.53,1.35,0.45,0.24,0.61,1.43,13.78,1.43,2.89,0,39%,1.96,79%,87%,11.66,0.04,0.45,1.43,0.33
,  ,Alexey Ivanenko,£55K  £170K,1.4,3.13,0.78,0.14,7%,1.7,0.07,4%,1,12.1km,1.14,47.59,40.56,9.52,15.49,3.55,0.5,0.99,0.43,0.43,1.21,1.63,15.13,1.14,3.05,0,25%,2.13,86%,85%,11.22,0,0.36,1.35,0.14
Opt,  ,Jordan Mowthorpe,£55K  £160K,1.37,4.1,1.69,0.34,20%,2.47,0.44,18%,2,13.0km,0.63,47.87,42.07,11.06,7.24,3.95,0.22,0.94,0.19,0.6,1.16,1.72,12.53,1.25,2.66,0.03,41%,1.79,73%,88%,9.3,0.09,0.81,1.25,0.16
,  ,Riku Tuisku,£55K  £160K,1.3,2.67,0.96,0,,0.64,0,0%,0,11.9km,0.96,44.36,39.56,8.21,15.14,2.67,0.21,1.49,0.43,0.21,0.85,2.13,10.24,0.96,2.88,0,36%,1.81,94%,89%,11.2,0,,0.96,
,  ,Chukwuemeka Nwankwo,£55K  £160K,0.87,4.81,1.46,0.07,7%,0.91,0.07,8%,1,12.0km,1.19,42.87,35.76,8.85,17.64,4.04,0.42,1.25,0.35,0.35,0.77,1.53,11.78,1.32,2.86,0,30%,1.74,78%,83%,10.6,0,0.49,1.32,0.07
,  ,Sindri Örn Svansson,£55K  £160K,1.27,3.08,1.21,0,36%,1.21,0.44,36%,4,11.0km,0.33,45.16,41.21,7.69,13.96,5.05,0.33,0.88,0.44,0.22,1.87,1.32,17.03,2.31,3.19,0,39%,2.09,86%,91%,11.32,0,0.33,2.31,
,  ,Tuomas Koskela,£50K  £150K,1.08,4.29,1.69,0.11,9%,1.24,0.11,9%,1,12.3km,0.79,47.37,40.71,8.8,14.77,4.17,0.34,0.68,0.23,0.23,0.79,1.02,10.38,2.71,3.61,0,39%,1.47,59%,86%,10.83,0,0.79,2.71,0.68
,  ,Kevin Reeves,£50K  £150K,0.8,4.19,1,0,50%,0.47,0.24,50%,4,12.3km,0.65,51.02,44.41,8.79,6.43,4.13,0.18,0.29,0.12,0.65,1.36,0.94,11.03,1.12,2.18,0.41,24%,1.71,83%,87%,8.96,0,0.47,1.12,0.24
,  ,Ivan Zaleskiy,£50K  £150K,1.87,3.66,1.16,0.33,18%,1.91,0.17,9%,2,12.4km,0.42,45.25,40.09,9.82,11.23,4.33,0.17,0.75,0.25,0.33,0.91,1.41,16.3,2,3.16,0,32%,2.08,76%,89%,10.9,0,0.67,2,0.33
,  ,Nikita Kondratenko,£50K  £140K,1,4.33,1.05,0.35,,0.91,0,0%,0,12.6km,0.63,45.42,39.41,9.99,10.48,3.77,0.07,0.56,0.21,0.42,0.77,1.26,13.21,1.61,2.86,0.14,24%,2.66,93%,87%,10.62,0.14,0.21,1.61,0.28
Inj,  ,Matic Markovič,£45K  £140K,1.62,5.42,1.92,0.52,50%,0.17,0.09,50%,1,12.8km,0.87,48.98,45.04,11.02,6.03,4.72,0.17,0.35,0,0.7,0.87,2.1,11.11,0.87,2.71,0,35%,2.36,93%,92%,10.06,0.09,0.44,0.87,0.09
,  ,Christoffer Pekkanen,£45K  £130K,1.46,3.64,1.66,0.08,10%,3.97,0.41,10%,1,12.5km,0.66,45.04,37.84,9.11,13.08,3.56,0.17,0.66,0.25,0.33,1.08,1.32,13.58,1.66,2.57,0,45%,0.91,55%,84%,11.01,0,0.33,1.66,0.25
Int,  ,Edilson Mendes,£45K  £130K,1.1,4.73,2.28,0.82,30%,0.56,0.17,31%,4,12.4km,0.26,50.67,44.87,10.1,6.7,4.99,0.17,0.3,0.04,0.21,0.95,1.29,12.77,1.12,2.92,0,48%,2.15,79%,89%,9.33,0,0.47,1.12,0.17
,  ,Sam Robinson,£40K  £120K,1.78,3.96,2.03,0.05,25%,0.59,0.15,25%,3,12.1km,0.4,51.58,45.99,8.8,5.49,3.71,0.15,0.3,0,0.4,1.48,0.99,9.35,0.84,2.08,0,51%,1.48,77%,89%,8.8,0,0.1,0.84,0.1
,  ,Yarin Shyovitz,£40K  £120K,1.04,5.7,3.07,0.38,23%,0.81,0.19,23%,3,12.9km,0.56,48.88,43.75,9.89,8.89,4.01,0.13,0.38,0.13,0.38,1.13,1.44,10.83,1.38,2.38,0.19,54%,1.82,76%,90%,9.64,0.06,0.25,1.38,0.19
,  ,Petar Manojlović,£40K  £120K,1.63,4.11,1.76,0.37,,0.46,0,0%,0,13.0km,0.51,50.59,44.58,11.04,8.27,3.83,0.23,0.55,0.14,0.55,0.97,1.99,13.49,1.02,2.4,0.18,43%,2.03,86%,88%,10.67,0.09,0.69,1.02,0.28
,  ,Joe Robinson,£40K  £120K,1.21,3.82,0.64,0.06,6%,1.39,0.12,8%,1,11.6km,1.1,49.14,42.42,7.99,12.33,4.23,0.12,0.41,0,0.29,1.16,1.68,11.34,1.5,2.84,0,17%,1.56,77%,86%,9.09,0,0.17,1.5,0.35
Inj,  ,Arnar Darri Jankovic,£40K  £120K,1.25,3.98,1.99,0.25,,0.99,0,0%,0,12.1km,0.87,43.76,38.04,8.83,13.18,3.36,0.12,0.5,0.25,0.25,0.75,2.36,17.53,1.49,2.98,0,50%,2.11,77%,87%,11.31,0,0.12,1.49,0.37
,  ,Csaba Dobos,£40K  £110K,1.43,3.38,0.99,0.08,5%,0.68,0.04,6%,1,12.2km,0.72,51.28,44.56,9.38,6.72,4.74,0.04,0.19,0,0.42,1.33,1.67,11.24,1.21,2.73,0.04,29%,2.13,88%,87%,8.65,0.04,0.76,1.21,0.19
,  ,Dan Dawson,£40K  £110K,0.89,3.58,2.17,0.22,,0.4,0,0%,0,13.4km,0.69,48.83,42.36,12.11,10.12,4.19,0.25,0.72,0.22,0.69,1.01,1.66,9.94,0.98,3.04,0,61%,2.13,81%,87%,9.54,0.04,0.25,0.98,0.07
,  ,Guðjón Frímann Sturluson,£35K  £110K,1.91,4.91,0.55,0,16%,4.15,0.33,8%,1,12.2km,1.42,33.6,29.45,7.09,16.47,2.4,0.65,1.64,0.44,0.22,0.65,1.31,14.07,1.53,1.2,0,11%,0.65,75%,88%,7.09,0,0.65,1.53,0.44
,  ,Packie MacAnthony,£35K  £110K,0.8,6.18,4.38,0.19,45%,1.05,0.48,45%,5,11.8km,0.86,44.81,39.01,8.18,15.13,4.28,0.57,0.95,0.1,0.29,1.33,1.81,13.03,2.38,2.95,0,71%,1.9,65%,87%,11.04,0.1,0.29,2.38,0.38
Unh,  ,Frederik Kjerrumgaard,£35K  £100K,0.96,5.54,3.42,0.52,8%,1,0.09,9%,2,12.0km,0.87,43.68,36.75,8.57,15.93,3.72,0.26,0.87,0.22,0.26,0.95,1.95,9.78,1.43,3.16,0,62%,2.42,79%,84%,11.86,0.09,0.13,1.43,0.04
,  ,Andrejs Martins,£35K  £100K,1.29,4.88,1.26,0.25,50%,0.51,0.25,50%,3,11.8km,0.42,51.78,45.55,8.67,5.47,4.04,0.08,0.34,0.08,0.42,1.35,1.35,11.37,1.35,2.1,0.34,26%,1.6,76%,88%,9.01,0.08,0.67,1.35,0.08
Wnt,  ,Josip Jakšić,£35K  £100K,1.84,3.77,0.83,0.05,,0.41,0,0%,0,12.2km,0.83,44.61,38.63,11.09,8.03,3.62,0.49,1.44,0.39,0.51,0.83,1.48,11.02,1.14,2.68,0,22%,1.73,82%,87%,8.88,0.07,0.19,1.22,0.19
,  ,Tómas Lárusson,£35K  £100K,1.17,3.59,1.49,0.31,23%,0.5,0.11,23%,3,12.6km,0.42,51.54,44.31,12.12,6.54,5.31,0.08,0.19,0.04,0.42,0.84,1.61,14.53,1.22,2.52,0.34,41%,2.26,80%,86%,10.13,0,0.19,1.22,0.11
Wnt,  ,Or Luzon,£35K  £100K,0.71,3.89,1.36,0.11,24%,3.39,0.83,24%,31,12.5km,1.2,42.2,36.6,10.43,15.68,3.76,0.21,0.69,0.21,0.29,0.91,1.47,9.34,1.47,3.2,0.03,35%,2.35,88%,87%,10.32,0.05,0.27,1.47,0.19
,  ,Máté Nyíri,£35K  £100K,1.71,3.71,0.97,0,,2.12,0.09,4%,0,12.2km,0.88,43.01,37.18,9.19,10.69,4.5,0.26,1.06,0.53,0.18,0.53,1.15,12.81,1.85,3.36,0,26%,2.56,91%,86%,10.33,0.18,0.62,1.85,0.35
,  ,Jóhannes Arnþórsson,£30K  £95K,1.38,5.47,2.49,0.25,36%,0.91,0.33,36%,4,11.8km,0.33,45,37.38,8.37,15.58,3.73,0.25,0.33,0,0.5,1.82,1.41,8.37,1.82,3.73,0,45%,2.73,75%,83%,12.35,0.08,,1.82,0.08
,  ,Dagur Daníelsson,£30K  £95K,1.07,4.14,2.86,0.23,,0.53,0,0%,0,13.0km,0.6,52.03,46.69,10.08,6.92,4.29,0,0.23,0.08,0.15,1.2,1.2,11.73,1.5,2.33,0,69%,1.88,93%,90%,8.2,0.15,0.23,1.5,0.23
,  ,Jaime Frances,£30K  £90K,1.95,5.3,1.74,0.29,16%,0.74,0.12,17%,5,12.1km,0.56,48.1,42,9.32,13.8,3.24,0.1,0.59,0.2,0.25,1.03,1.57,12.11,1.37,3.19,0,33%,2.06,68%,87%,10.74,0.07,0.07,1.37,0.07
,  ,Dāvis Blanks,£30K  £90K,1.5,4.43,0.99,0.08,18%,0.84,0.15,18%,2,11.7km,0.92,46.34,40.61,9.54,12.52,3.66,0.23,0.92,0.31,0.31,0.69,1.91,12.67,1.6,2.9,0,22%,1.22,62%,88%,10.84,0.15,0.53,1.6,0.08
Wnt,  ,Petr Mácha,£30K  £90K,1.21,3.23,0.76,0,27%,1.84,0.21,11%,5,12.6km,0.69,46.68,39.71,10.34,9.06,3.92,0.28,0.66,0.17,0.45,0.87,1.46,10.79,1.28,2.85,0.03,24%,1.91,82%,85%,9.48,0.1,0.24,1.8,0.03
Wnt,  ,Demir Xhemalija,£30K  £90K,1.81,4.79,2.02,0.45,,2.07,0.2,9%,0,12.7km,0.7,50.68,45.56,10.89,5.8,5.49,0.2,0.67,0.11,0.42,0.78,1.74,13.75,1.6,2.97,0.03,42%,1.99,74%,90%,9.72,0.08,0.64,1.6,0.42
,  ,Valentyn Krasilnikov,£28K  £85K,1.47,4.42,1.44,0.24,5%,0.91,0.05,5%,1,11.9km,0.53,45.22,39.11,8.02,12.83,3.56,0.1,0.38,0.14,0.43,0.82,1.44,15.04,1.59,3.08,0,33%,2.07,90%,87%,11.39,0.05,0.34,1.59,0.14
,  ,Matej Kolar,£28K  £85K,0.31,2.95,1.43,0,,0.96,0,0%,0,11.9km,1.04,45.64,38.31,8.6,11.71,2.63,0.08,0.32,0,0.48,0.64,1.67,8.6,1.12,3.27,0,49%,1.59,71%,84%,10.91,0,0.16,1.12,
Wnt,  ,Akis Kampetsis,£24K  £75K,0.69,4.88,2.65,0.69,,0.6,0,0%,0,11.8km,0.34,50.44,45.39,8.56,9.42,4.71,0.17,0.6,0.17,0.17,1.28,0.77,9.68,1.37,2.91,0.09,54%,2.48,81%,90%,9.93,0.17,0.26,1.37,
