Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Rowendy Ogenia,Not for Sale,1.33,130,cinch Premiership,6.07,5.07,0.53,,0.07,0,0%,0,10.9km,,61.73,52.93,4.47,3.07,3.67,0,,,0.67,1.2,2.6,18.33,0.27,1.07,0.8,84%,0.8,52%,86%,2.73,0.33,0.13,0.27,0.07
,  ,Giuseppe Ferracane,£5.8M  £17.5M,1.7,129,Swiss Super League,7.82,5.78,0.79,33%,0.24,0.08,33%,2,10.6km,0.04,56.67,50.27,4.36,2.87,3.81,0.16,0.43,0.16,0.51,1.38,1.81,17.72,0.43,1.49,0.55,74%,1.22,78%,89%,3.1,0.43,0.2,0.43,0.04
,  ,Victor Suleimanov,£1.7M  £5.2M,1.43,129,Russian Premier League,8.24,5.86,0.86,,0.19,0,0%,0,10.8km,0.1,55.67,50,4.48,3.48,4.05,0.19,0.48,0.29,0.38,1.57,2.1,14.38,0.33,1.81,0.71,71%,1.62,79%,90%,3.95,0.43,0.1,0.33,
Wnt,  ,Collins Sarpong,Not for Sale,1,129,UAE Professional League,,,0,,0,0,,0,0.0km,,20,14.27,0,0,0,0,0.6,0.07,,0,,0,0,0,0,,2,94%,71%,0,0,,,
Int,  ,Yazid Zobo,£2.1M  £6.4M,2.29,129,Serbian SuperLeague,7.29,4.65,1.2,,0.14,0,0%,0,11.4km,0.19,56.82,51.93,5.8,2.54,3.74,0.1,0.38,0.14,0.43,1.39,1.44,20.28,0.38,1.15,0.19,64%,1.44,91%,91%,3.45,0.19,0.24,0.38,0.05
,  ,Vitaliy Kobzar,Not for Sale,1.81,129,Ukrainian Premier League,7.52,5.01,0.91,16%,0.23,0.04,17%,1,11.1km,0.11,57.65,51.46,4.67,3.15,3.53,0.23,0.68,0.15,0.53,1.71,1.48,15.65,0.46,1.59,0.46,67%,1.56,87%,89%,3.38,0.38,0.04,0.46,0.08
,  ,André Vinhas,£1.7M  £5.2M,1.83,129,Portuguese Premier League,7.89,5.44,0.94,,0.06,0,0%,0,11.2km,0.17,54.67,49.78,5.61,3.39,4,0.22,0.61,0.17,0.61,1.39,1.56,15.56,0.33,1.11,0.67,69%,1.17,84%,91%,2.28,0.33,0.11,0.33,
,  ,Jaymillio Etwi,Not for Sale,1.43,129,Eredivisie,6.79,4.86,0.5,,0.29,0,0%,0,11.7km,0.14,57.86,54.29,6.07,3.21,4,0.07,0.21,0,0.36,1,1.86,15.57,0.43,1.57,0.29,72%,1.64,88%,94%,3.93,0.43,0.07,0.43,0.07
,  ,Alexandr Pulyaev,£3.5M  £10.5M,1.67,129,3F Superliga,7.18,4.8,0.64,,0.12,0,0%,0,11.1km,0.06,56.55,52.32,5.32,2.89,4.34,0,0.06,0,0.81,1.56,2.14,20.43,0.69,0.46,1.1,67%,0.58,83%,93%,1.62,0.23,0.12,0.69,0.17
,  ,Marcos Arbeloa,£550K  £1.6M,2.82,129,Spanish Federation First Division A,7.82,5.27,1.36,,0,0,,0,10.7km,0.55,55.73,49.82,4.64,2.36,3.27,0.64,1.18,0.36,0.27,0.55,1.91,18.36,0.09,1.09,0.64,67%,1.18,76%,89%,2.73,0,,0.09,
Int,  ,Sem Mouhammadou,£5.4M  £16M,1.25,129,Spanish First Division,8.02,5.77,1.25,,0.06,0,0%,0,11.5km,0.06,61.11,56.85,5.45,2.88,4.32,0.13,0.38,0.06,0.5,1.38,1,16.3,0.31,1.19,0.63,72%,0.94,71%,93%,2.51,0.25,0.06,0.31,0.06
,  ,Štěpán Starý,Not for Sale,1.37,128,Czech First Division,7.83,5.24,1.11,33%,0.16,0.05,33%,1,11.4km,0.21,57.53,50.29,5.92,2.7,3.23,0.26,0.74,0.16,0.53,1,2.12,16.92,0.32,0.74,0.32,67%,1.11,88%,87%,2.49,0.32,0.05,0.32,
,  ,Victor Vinnichenko,£3.3M  £9.8M,1.89,128,Croatian First League,7.48,4.67,1.46,,0.06,0,0%,0,10.7km,0.18,56.83,51.69,4.73,3.39,3.74,0.18,0.99,0.18,0.41,1.75,1.64,14.6,0.23,1.58,0.53,63%,1.4,77%,91%,3.91,0.29,0.06,0.23,
,  ,Michele Cottignoli,Not for Sale,1.2,128,Turkish Super League,7.45,5.4,1.06,,0.23,0,0%,0,11.3km,0.38,56.17,52.68,5.4,3.57,4.48,0.15,0.15,0.08,0.23,0.91,1.9,13.38,0.23,1.14,0.08,72%,0.84,73%,94%,2.66,0.23,,0.23,0.08
Wnt,  ,Diogo Gonçalves,£7M  £21M,1.5,128,Portuguese Second League,7.32,5,0.62,,0.09,0,0%,0,10.9km,0.18,55.8,50.8,5.18,2.5,3.66,0.09,0.27,0,0.8,1.88,1.07,20.62,0.45,1.07,0.54,68%,1.07,71%,91%,3.3,0.18,0.09,0.45,
Wnt,  ,Ranko Pejović,£2.5M  £7.4M,2.32,128,Serbian SuperLeague,8.01,5.97,0.79,,0.16,0,0%,0,10.9km,0.21,56.86,50.42,4.45,3.14,3.19,0.05,0.1,0.05,0.31,1.15,1.47,19.21,0.1,1.1,0.68,75%,1.05,74%,89%,3.3,0.42,,0.1,
,  ,Mohamed Daher,£2.4M  £7.2M,1.36,128,Major League Soccer,3.89,2.63,0.53,42%,0.16,0.07,43%,3,6.0km,0.05,38.89,32.86,2.79,3.11,1.36,0.07,0.58,0.12,0.23,0.58,0.97,8.87,0.12,0.67,0.32,67%,1.75,90%,84%,2.51,0.07,0.02,0.12,0.09
,  ,Enzo Rivero,£3.4M  £10.5M,1.32,128,Argentine Premier Division,2.41,1.78,0.39,,0.05,0,0%,0,3.5km,0.05,31.93,26.73,1.59,1,1.32,0.17,0.73,0.27,0.07,0.44,0.46,5.83,0.1,0.44,0.27,74%,1.37,84%,84%,1,0.1,0.05,0.1,0.07
,  ,Samuel Johnson,£2.9M  £8.6M,1,128,Ligue 1 Uber Eats,8.12,5.56,1.19,,0.06,0,0%,0,11.3km,0.12,62.71,58.33,5.43,3.12,3.75,0.31,0.69,0.31,0.5,1.06,1,16.43,0.19,1.12,1.56,68%,1.12,69%,93%,3.31,0.31,0.12,0.19,
,  ,Alex Adowa,£3.5M  £10.5M,1.4,128,Greek Super League 1,7.07,5.32,0.71,,0.22,0,0%,0,11.2km,0.16,56.71,49.85,5.65,3.18,3.07,0.05,0.93,0.44,0.44,1.15,1.32,16.51,0.11,1.21,0.66,75%,1.48,96%,88%,3.73,0.22,,0.11,
Inj,  ,Yann Touré,£450K  £1.4M,1.92,128,Slovak First Division,8.42,5.06,0.78,,0.18,0,0%,0,11.3km,,58.76,55.67,5.29,2.58,3.82,0.05,0.23,0.05,0.64,1.79,1.52,20.06,0.55,1.29,0.41,60%,1.2,79%,95%,3.08,0.32,,0.55,0.09
Int,  ,Ryoya Matsumura,£2.7M  £8.2M,1.04,127,J1 League,0.27,0.14,0.09,,0,0,,0,0.4km,0.05,22.65,16.66,0.18,0.09,0.18,0,0.45,0.14,,0.05,,1.23,0,0.05,0.05,50%,2,100%,74%,0.14,0,,,0.05
,  ,Ardiouma Barry,£950K  £2.8M,2.07,127,Croatian First League,8.2,5.6,1.13,,0.13,0,0%,0,11.0km,0.2,56.33,49.07,4.87,2.67,4,0.07,0.33,0.07,0.73,1,1.93,22.13,0.2,0.87,0.27,68%,0.87,68%,87%,2.8,0.27,,0.2,0.07
,  ,Georg Poelmans,£850K  £2.5M,1.29,127,Croatian First League,8.35,6.29,0.94,,0.35,0,0%,0,11.1km,0.18,57.59,51.59,4.88,3.71,3.59,0.24,1,0.12,0.35,0.76,1.82,13.12,0.18,1.41,0.59,75%,1.59,90%,90%,3.47,0.29,0.06,0.18,
,  ,Manuel Dueñas,£3.2M  £9.6M,2.19,127,Czech First Division,7.66,5.32,0.52,20%,0.2,0.04,20%,1,11.2km,0.08,57.13,50.86,5.32,2.7,3.22,0.04,0.2,0,0.64,1.71,1.75,21.99,0.56,1.79,1.03,69%,1.63,80%,89%,3.69,0.79,0.24,0.56,0.08
Wnt,  ,Eden Dinto,£1.5M  £4.6M,1.6,127,Israeli Premier League,8.33,6.18,0.91,,0.11,0,0%,0,11.8km,0.22,57.53,51.94,5.7,2.63,3.92,0.32,0.65,0.05,0.65,1.51,1.56,19.84,0.32,1.29,0.32,74%,1.18,81%,90%,3.71,0.32,,0.32,
,  ,Marco Penz,£4.5M  £13.5M,2.05,127,Austrian Premier Division,7.33,5.26,0.8,,0.21,0,0%,0,11.4km,0.16,54.96,47.15,4.67,3.45,4.57,0.11,0.32,0.05,0.48,1.17,1.96,17.36,0.37,1.12,0.8,72%,1.12,81%,86%,2.97,0.48,0.05,0.37,
Wnt,  ,Ümit Öztürk,£5.2M  £15.5M,1.62,127,Eredivisie,7.9,6.01,0.49,,0.82,0,0%,0,11.4km,0.25,55.78,49.52,5.02,3.54,3.54,0.16,0.58,0.25,0.74,1.32,2.06,15.96,0.41,0.9,0.9,76%,0.99,86%,89%,2.3,0.16,,0.41,
Wnt,  ,Mattia Di Pasquale,£5M  £15M,1.08,127,Italian Serie A,7.08,4.5,1.08,,0.08,0,0%,0,11.3km,0.17,56.08,48.92,5,2.67,3.75,0,0.25,0.08,0.42,1.42,2.33,15.58,0.33,1.67,0.75,64%,1.25,65%,87%,3.17,0.33,0.08,0.33,0.08
,  ,Oleksandr Levchenko,£7M  £21M,1.85,126,Ukrainian Premier League,7.93,5.64,1.05,50%,0.37,0.19,50%,3,11.8km,0.25,54.51,49.12,6.07,3.9,3.72,0.06,0.19,0.06,0.31,1.18,1.36,15.73,0.31,1.61,0.5,71%,1.73,85%,90%,4.96,0.31,0.06,0.31,
,  ,Alexander Osorio,£6.2M  £18.5M,1.17,126,Portuguese Premier League,8.08,6.58,1.08,,0.08,0,0%,0,11.4km,0.25,57.75,53.83,4.75,3.33,3.33,0.08,0.17,0,0.83,1.08,1.33,14.92,0.25,1.33,0.67,81%,1.33,80%,93%,3.67,0.25,0.33,0.25,
,  ,Julio,£3.8M  £11.5M,2.41,126,Serbian SuperLeague,7.63,5.3,0.53,20%,0.26,0.05,20%,1,10.6km,0.05,57.16,50.32,5.19,3.44,3.5,0,0.21,0.05,0.79,1.75,1.54,20.55,0.32,1.17,0.79,69%,1.22,88%,88%,3.39,0.42,0.21,0.32,0.05
,  ,José Guilherme,£5.6M  £16.5M,1.54,126,Bundesliga,8.07,5.48,1.49,,0.08,0,0%,0,11.4km,0.08,56.4,50.05,5.48,3.45,2.9,0,,,0.7,1.17,1.49,13.71,0.31,1.17,1.64,68%,1.49,90%,89%,3.6,0.39,,0.31,0.08
,  ,Callum Kelly,£1.4M  £4.1M,1.77,126,Irish Premier Division,7.17,5.72,0.85,,0.12,0,0%,0,11.6km,0.1,57.83,53.01,5,2.47,3.9,0.15,0.65,0.1,0.6,1.67,1.37,19.69,0.3,1.2,0.72,80%,1.35,86%,92%,3.07,0.32,0.02,0.3,0.05
Wnt,  ,Isaac Jones,£2.8M  £8.4M,0.71,126,Sky Bet Championship,7.24,5.35,0.76,,0,0,,0,11.1km,,54.88,49.18,4.29,2.88,3.35,0.06,0.24,0,0.53,1.24,2,15.35,0.29,0.88,0.65,74%,0.88,75%,90%,2.65,0.18,,0.29,0.06
Wnt,  ,Wolfgang Landgraf,£850K  £2.6M,2.42,126,Bulgarian First League,8.03,5.51,1.62,,0.08,0,0%,0,11.6km,0.16,56.92,50.27,6.08,2.35,3.65,0.16,0.41,0.16,0.65,1.22,1.7,18.49,0.41,1.22,0.89,69%,1.14,78%,88%,3.57,0.24,0.08,0.41,0.08
,  ,Alparslan Günal,£750K  £2.2M,1.81,126,Bundesliga 2,8.45,5.33,1.66,,0.07,0,0%,0,11.0km,0.2,61.97,57.58,5.19,3,3.33,0.27,0.6,0.07,0.2,1.33,1.6,17.57,0.2,1.4,0.47,63%,1.4,81%,93%,3.93,0.4,0.13,0.2,0.13
,  ,Marilson,£1.8M  £5.6M,1.05,125,Brazilian National Second Division,1.04,0.71,0.1,,0.05,0,0%,0,1.5km,,25.27,18.4,0.66,0.25,0.66,0.03,0.61,0.05,0.1,0.23,0.18,2.88,0.08,0.25,0.2,68%,1.72,92%,73%,0.53,0.08,0.03,0.08,0.13
,  ,Gerasimos Spanos,£4.8M  £14.5M,0.82,125,Ligue 2 BKT,4.99,3.09,0.24,14%,0.83,0.12,14%,1,11.1km,0.83,46.78,40.49,10.21,10.57,3.56,0.36,1.78,0.47,0.12,0.47,0.95,16.98,0.83,3.68,0.12,62%,3.8,100%,87%,10.8,0,0.12,1.19,
Wnt,  ,Ivan Stilinović,£1.5M  £4.6M,1.5,125,Israeli Premier League,8.08,5.41,0.94,25%,0.29,0.07,25%,1,10.8km,,57.04,49.76,4.98,3.17,4.9,0.29,0.65,0.14,0.43,1.59,1.95,16.37,0.29,1.37,0.58,67%,1.23,81%,87%,3.03,0.36,0.07,0.29,
Wnt,  ,Dominic Klipphahn,£9.4M  £28M,1.82,125,Sky Bet Championship,8.12,6.37,0.62,50%,0.21,0.1,50%,1,11.0km,0.21,55.17,48.29,5.03,3.7,3.7,0.21,0.21,0,0.72,1.34,1.54,15.1,0.51,1.13,0.21,78%,0.82,62%,88%,2.57,0.41,,0.51,0.1
,  ,Anton Permyakov,£5.6M  £17M,1.69,125,Portuguese Premier League,8.44,6.23,0.95,,0.16,0,0%,0,11.3km,0.16,58.29,50.72,5.36,3.87,2.76,0.16,0.24,0,0.24,0.95,1.66,17.35,0.24,1.1,0.71,74%,1.18,79%,87%,2.76,0.16,0.16,0.24,0.08
,  ,Mark Moran,£4.2M  £12.5M,1.47,125,cinch Premiership,7.05,4.95,1.02,33%,0.2,0.07,33%,1,11.5km,0.14,57.27,52.05,5.42,3.59,3.86,0.14,0.41,0,0.47,1.02,2.24,12.74,0.2,1.15,0.54,70%,1.42,81%,91%,3.52,0.34,0.2,0.2,
,  ,Arnaud Vigier,£900K  £2.7M,1.82,125,Russian Premier League,8.1,6.06,1.09,33%,0.14,0.05,33%,1,11.0km,0.09,56.91,51.32,4.78,3.27,3.5,0.05,0.14,0.09,0.57,1.42,1.33,17.14,0.19,1.18,0.24,75%,1.33,78%,90%,3.55,0.28,0.14,0.19,
,  ,Cristian Dan,£2.6M  £7.8M,1.62,125,Croatian First League,7.77,6.34,1.21,,0,0,,0,10.6km,,56.05,50.17,4.83,2.19,3.47,0.3,0.68,0,0.53,1.21,1.89,19.01,0.3,0.83,0.98,82%,0.6,73%,90%,2.64,0.15,,0.45,
,  ,Gentil Borges,£2.8M  £8.4M,2.06,125,Swiss Super League,6.5,4.78,0.53,33%,0.18,0.06,33%,1,11.1km,0.06,57.05,50.61,4.96,2.54,4.02,0.06,0.12,0.06,0.47,2.07,1.3,15.53,0.41,1.54,0.18,74%,1.42,77%,89%,3.13,0.65,0.06,0.41,
Int,  ,Sofiane Laïb,£1.5M  £4.4M,1.93,125,PKO Bank Polski Ekstraklasa,8.2,5.75,0.92,,0,0,,0,11.5km,0.15,55.81,50.06,5.6,3.53,3.53,0,0.31,0,0.77,1.46,1.61,17.4,0.23,1,0.84,70%,0.46,38%,90%,3.3,0.31,0.08,0.23,
,  ,Junior Touré,£4.3M  £13M,1.36,124,Turkish Super League,7.79,4.71,1.21,,0.29,0,0%,0,11.2km,0.07,55.64,48.64,4.5,2.64,4,0,0.14,0,0.36,0.71,1.79,15.71,0.29,1.21,0.36,61%,1.21,81%,87%,3.14,0.29,0.14,0.29,0.07
,  ,Sebastian Axelsson,£375K  £1.2M,1.52,124,Swedish Premier Division,8.02,5.1,1.02,,0,0,,0,11.1km,0.11,55.9,50.41,5.2,2.78,3.3,0.04,0.35,0.14,0.35,1.3,1.44,16.38,0.04,1.05,0.46,64%,0.77,65%,90%,3.02,0.07,0.07,0.04,
,  ,Eric Christoph,£220K  £650K,2.64,124,Croatian First League,8.14,5.14,1.14,100%,0.09,0.09,100%,2,11.4km,0.23,55.36,50.55,5.64,2.32,3.59,0.09,0.36,0.09,0.55,1.09,1.45,20.05,0.27,1.41,0.73,63%,1.05,61%,91%,3.27,0.18,0.05,0.27,0.14
nEU,  ,Ousmane Osky Sow,£1.6M  £4.9M,1.38,124,Italian Serie A,8.25,5.47,0.97,,0,0,,0,11.0km,0.07,57.45,50.55,5.4,3.22,3.82,0,0.3,0.22,0.45,1.2,1.43,19.12,0.15,1.05,1.5,66%,1.05,64%,88%,3.38,0.15,,0.15,
Rst,  ,Ignas Stepanauskas,£1.6M  £4.7M,1.18,124,French National 2  C,1.18,0.73,0.18,,0,0,,0,1.9km,0.09,26.36,20.27,0.91,0.18,0.73,0,0.36,0,0.09,0.36,0.18,6,0.09,0.18,0,62%,1.64,95%,77%,0.64,0,,0.09,0.18
,  ,Christian Basler,£4.3M  £13M,1.71,124,Belgian Challenger Pro League,8.29,6.14,0.46,50%,0.15,0.08,50%,1,11.5km,,57.59,48.53,5.45,3.46,3.23,0.46,1.23,0.31,0.84,1.31,1.15,17.59,0.38,1.08,0.38,74%,1.15,79%,84%,3.38,0.31,,0.38,0.08
Wnt,  ,Francesco Di Benedetto,£1.4M  £4.1M,1.08,124,Italian Serie A,7.42,4.75,1.17,,0.17,0,0%,0,11.7km,,58,52.58,5.75,3.5,3.33,0.08,0.42,0,0.83,2.08,1.42,14.17,0.08,1.5,0.17,64%,1.08,65%,91%,3.17,0.25,0.08,0.08,
,  ,Denis Bera,£650K  £2M,0.81,124,Slovenian First League,7.31,4.81,0.56,,0.19,0,0%,0,11.2km,0.12,57,51,5.31,2.62,3.81,0.06,0.19,0.06,0.44,1.06,1.31,12.75,0.31,1.19,1.25,66%,1.5,86%,89%,3.25,0.31,0.06,0.31,0.06
,  ,Wilfried Traoré,£1.2M  £3.5M,1,124,Turkish Super League,6.85,4.43,0.71,,0.1,0,0%,0,11.5km,0.1,54.32,48.68,5.74,3.12,3.23,0.1,0.5,0.2,0.6,1.01,1.21,14.82,0.1,1.01,1.01,65%,1.61,94%,90%,3.53,0.1,,0.1,
,  ,Manuel Moreno,£2M  £5.8M,1.85,124,Spanish Second Division,6.54,5,1.08,,0.08,0,0%,0,11.7km,0.15,56.23,51,5.46,2.38,3.69,0.23,1,0.08,0.46,0.46,2.15,23,0.23,1,0.46,76%,1.31,81%,91%,3.85,0.31,0.15,0.23,0.08
Int,  ,Saïdi Ndaye,£2.4M  £7.2M,1.83,124,Russian Premier League,7.49,5.24,0.79,100%,0.06,0.06,100%,1,11.9km,,56.24,49.48,5.67,2.56,3.66,0.06,0.18,0.06,0.49,0.97,1.52,17.49,0.3,1.34,0.61,70%,1.58,93%,88%,3.53,0.3,0.12,0.3,
Wnt,  ,Sven Carnal,£2.4M  £7M,1.58,124,Swiss Super League,6.63,4.97,0.61,33%,0.17,0.06,33%,1,11.3km,0.22,56.04,46.27,5.13,4.03,4.8,0.22,0.61,0.17,0.61,1.27,1.82,16.79,0.44,1.16,0.44,75%,1.16,78%,83%,2.98,0.22,,0.44,
,  ,Bruno Ramos,£3M  £9M,1,123,Portuguese Premier League,7.58,5.33,0.92,,0.33,0,0%,0,11.0km,0.25,54.83,51.08,4.75,3.33,3.92,0,0.25,0.08,0.17,1.08,1.25,14.83,0.08,1.75,0.08,70%,2,92%,93%,4.08,0.25,,0.08,
,  ,Güvenç Yılmaz,£1.7M  £5M,0.45,123,Bundesliga,7.06,4.48,0.4,100%,0.3,0.3,100%,3,11.3km,0.1,56.29,51.91,4.57,4.28,4.08,0.3,0.4,0.1,0.5,1.79,1.49,11.83,0.4,0.99,0.99,63%,1.29,81%,92%,3.18,0.5,,0.4,0.1
,  ,Carlos Gomes,£1.5M  £4.6M,1.53,123,Portuguese Premier League,6.64,4.96,0.97,16%,0.39,0.06,17%,1,10.2km,,59.98,54.18,3.74,2.19,4.32,0,0.06,0,0.58,1.55,1.8,16.36,0.32,1.16,1.03,75%,1.03,73%,90%,3.03,0.45,,0.32,
,  ,Keisuke Nakano,£4.1M  £12.5M,1,123,Qatar Stars League,,,0,,0,0,,0,0.0km,,20,14.12,0,0,0,0,0.19,0.06,,0,,0,0,0,0,,1.75,100%,71%,0,0,,,
,  ,Emmanuel Abba,£3.7M  £11M,0.83,123,Spanish First Division,8.2,6.01,1.18,100%,0.17,0.17,100%,2,11.0km,0.08,56.08,52.95,5.24,3.98,3.55,0.08,0.76,0.25,0.34,1.1,1.86,13.36,0.25,0.68,0.25,73%,1.02,86%,94%,2.37,0.25,,0.25,0.08
,  ,Antonio Corazza,£3.7M  £11M,1.25,123,Italian Serie A,7.6,4.49,1.38,50%,0.17,0.09,50%,1,11.5km,0.17,55.71,48.97,5.61,3.28,3.89,0,0.26,0.09,0.26,1.12,1.21,14.6,0,1.47,0.69,59%,1.38,84%,88%,4.15,0.17,,,
,  ,Moses Sarpong,£1.3M  £4M,1.33,123,3F Superliga,6.58,4.16,0.6,,0.07,0,0%,0,11.2km,0.27,58.26,52.55,5.97,3.15,4.43,0.13,0.47,0,0.47,1.48,1.48,18.32,0.47,1.28,0.87,63%,1.21,90%,90%,2.82,0.27,,0.47,
,  ,Romeo Nlend,£3.2M  £9.8M,1.62,123,Russian Premier League,6.14,4.44,0.41,50%,0.27,0.14,50%,2,10.4km,0.14,57.59,51.52,4.03,2.46,3.28,0.14,0.48,0.2,0.82,1.36,1.57,16.24,0.41,0.68,0.75,72%,0.75,79%,89%,2.73,0.2,0.07,0.41,0.2
Wnt,  ,Alexandros Bousekas,£1.7M  £5M,1.27,122,Italian Serie B,7.55,4.36,0.91,,0.09,0,0%,0,11.1km,0.27,57.55,53.55,4.91,3.09,3.82,0.27,0.45,0.09,0.36,1.09,1.73,13.91,0.09,1.09,0.73,58%,1.45,89%,93%,3.73,0.36,,0.09,
,  ,Daniele Di Silvio,£2.1M  £6.4M,1.11,122,Russian Premier League,7.38,4.88,1.16,,0.06,0,0%,0,11.6km,0.17,57.97,51.92,5,3.37,4.01,0.23,0.58,0.17,0.47,1.1,1.4,16.74,0.29,1.4,0.81,66%,1.4,80%,90%,3.26,0.29,0.12,0.29,0.12
,  ,Emil Søndergård,£4.6M  £14M,1.27,122,3F Superliga,8.1,6.28,1.28,33%,0.2,0.07,33%,1,11.6km,0.14,56.71,47.87,6.01,2.77,3.85,0.2,0.27,0,0.34,1.15,1.42,18.09,0.14,1.55,0.95,78%,1.49,81%,84%,3.71,0.27,0.07,0.14,
,  ,Rubinho,£1.1M  £3.2M,1.43,121,Brazilian National First Division,5.53,3.81,0.88,,0.1,0,0%,0,7.9km,0.08,47.05,40.15,3.48,2.35,2.86,0.06,0.25,0.06,0.39,1.04,1.23,12.03,0.14,0.94,0.47,69%,1.41,85%,85%,2.58,0.23,0.02,0.14,0.02
Unh,  ,Dinho,£2.1M  £6.4M,1.25,121,Portuguese Premier League,7.67,4.83,1,50%,0.17,0.08,50%,1,11.2km,0.25,57.17,49.17,5.25,4.83,3.67,0,0.17,0,0.25,1.17,1.42,12.5,0.17,0.92,0.67,63%,0.92,65%,86%,3.25,0.17,0.08,0.17,
,  ,Vinícius,£2.2M  £6.8M,1.92,121,Brazilian National First Division,5.67,3.67,0.75,,0,0,,0,9.1km,0.33,47.83,41.25,5.08,1.92,3.33,0.33,0.58,0.08,0.33,0.58,1.17,13.25,0.25,0.75,0.92,65%,1.17,93%,86%,2.08,0.17,0.08,0.25,0.08
,  ,Dean Stephenson,Not for Sale,1.12,121,cinch Premiership,7.88,5.82,0.79,,0.36,0,0%,0,11.2km,0.18,57.52,51.58,4.97,2.91,4.12,0.24,0.67,0.12,0.36,1.27,1.52,17.27,0.48,1.15,1.03,74%,1.15,79%,90%,2.85,0.48,0.12,0.48,0.06
,  ,Grzegorz Jędrzejewski,£1.1M  £3.2M,1.87,121,PKO Bank Polski Ekstraklasa,7.87,5.73,0.73,,0.07,0,0%,0,12.0km,0.13,58.4,51.27,5.8,3.27,4.33,0.13,0.6,0.07,0.6,1.07,1.8,16.27,0.33,1.2,0.47,73%,1.33,80%,88%,3,0.4,0.07,0.33,
,  ,Martin Rimmen,£3.3M  £9.8M,1.79,121,Swiss Super League,6.77,4.91,0.73,,0.16,0,0%,0,11.6km,0.28,55.26,50.43,5.59,3,4.18,0.2,0.32,0.04,0.41,1.3,1.38,19.54,0.32,1.3,0.45,72%,1.14,74%,91%,3.28,0.45,0.12,0.32,
,  ,Etienne Capron,£1.1M  £3.3M,1.3,121,Jupiler Pro League,7.66,5.96,1.06,,0,0,,0,10.9km,,55.43,47.77,4.26,2.66,4.68,0.11,0.43,0,0.64,1.38,1.38,16.28,0.32,1.28,0.64,78%,1.7,100%,86%,2.98,0.32,,0.32,
,  ,António Ramos,£1.8M  £5.2M,1.79,120,Portuguese Premier League,7.22,4.5,0.64,,0.21,0,0%,0,11.0km,,54.97,49.9,4.79,3.36,3.93,0.21,0.64,0.21,0.5,1.36,2,16.37,0.36,1.14,1.64,62%,1.07,79%,91%,3.43,0.43,,0.36,
,  ,Baba Diallo,£1.8M  £5.4M,2.16,120,Czech First Division,7.5,5.84,0.83,50%,0.1,0.05,50%,1,11.5km,0.26,54.62,48.67,5.17,2.07,3.83,0.05,0.26,0.1,0.41,1.19,1.81,14.33,0.31,0.98,0.21,78%,1.19,79%,89%,3.26,0.21,0.05,0.31,
,  ,Svetlin Velchev,£2.4M  £7.4M,1,120,MLS Next Pro Western Conference,,,0,,0,0,,0,0.0km,,20,13.89,0,0,0,0,0.14,0.04,,0,,0,0,0,0,,2.07,98%,69%,0,0,,,0.14
,  ,Domagoj Maks Srok,£65K  £200K,1.29,120,Croatian First League,8.6,6.06,1.27,,0,0,,0,10.6km,0.23,57.29,52.1,4.44,3.17,3.17,0.29,0.75,0.17,0.46,1.04,1.62,20.77,0.23,1.27,1.15,70%,1.21,68%,91%,3,0.12,0.06,0.23,0.06
,  ,Mikael Malm,£375K  £1.1M,1.26,120,Norwegian Premier Division,6.88,4.46,0.55,,0.11,0,0%,0,11.4km,0.18,57.4,53.3,5.41,2.82,3.15,0.18,0.59,0.04,0.51,1.17,1.83,14.85,0.07,1.24,1.02,65%,1.13,67%,93%,3.44,0.26,0.07,0.07,
Wnt,  ,Vittorio Borella,£325K  £950K,1.55,120,Portuguese Second League,7.82,5.21,0.68,100%,0.11,0.11,100%,1,10.8km,,60.42,53.39,4.53,2.38,3.63,0,0.45,0.11,0.68,1.7,2.61,17,0.45,0.57,0.45,67%,0.45,80%,88%,2.04,0.11,0.34,0.45,0.11
,  ,Kacey Herrod,£5.6M  £16.5M,1.63,120,Sky Bet League One,7.28,4.73,1.14,100%,0.11,0.11,100%,2,11.4km,0.22,55.67,51,4.94,3.2,2.39,0.11,0.38,0.05,0.71,1.74,1.25,17.22,0.22,1.25,1.14,65%,1.25,79%,92%,3.31,0.22,0.22,0.22,0.05
,  ,Ionuţ Gabor,£800K  £2.4M,1.45,120,Romanian First League,7.63,4.73,1.02,,0.1,0,0%,0,11.3km,0.05,57.61,50.8,5.29,3.05,3.41,0.31,0.61,0.1,0.66,1.07,1.58,15.25,0.2,0.97,0.86,62%,1.37,87%,88%,3.05,0.15,,0.2,0.05
,  ,Matyáš Trousil,£1M  £3M,1.76,120,Ukrainian Premier League,8.01,5.58,1.05,100%,0.04,0.04,100%,1,11.2km,,56.13,51.43,5.71,3.48,3.6,0.04,0.24,0.08,0.65,1.62,1.34,14.24,0.32,1.05,0.2,70%,1.05,81%,92%,2.87,0.12,0.12,0.32,0.04
